st_cd,h1b_violtn_cnt,h1b_cmp_assd_amt,rank_violation,rank_penalty
NJ,3226,1197151.5,1.0,4.0
MI,3169,2242123.88,2.0,1.0
IL,2940,1235646.0,3.0,3.0
CA,2770,706654.0,4.0,5.0
TX,2039,259718.67,5.0,9.0
NY,1983,619198.25,6.0,7.0
MD,1915,1768547.0,7.0,2.0
VA,1847,96580.2,8.0,14.0
MA,1405,85779.06,9.0,15.0
OH,1097,471300.0,10.0,8.0
FL,1081,256147.8,11.0,10.0
GA,700,81072.75,12.0,16.0
WA,646,690168.0,13.0,6.0
MO,580,142150.0,14.0,13.0
PA,478,154466.34,15.0,12.0
KS,235,57024.0,16.0,18.0
NH,228,23025.0,17.0,21.0
IN,223,231500.0,18.0,11.0
LA,174,0.0,19.0,37.0
DE,151,61100.0,20.0,17.0
AL,130,1510.4,21.0,32.0
AZ,129,14000.0,22.0,23.0
MS,127,47000.0,23.0,19.0
NC,113,1125.0,24.0,33.0
MN,108,31464.989999999998,25.0,20.0
VT,106,0.0,26.0,37.0
IA,81,0.0,27.0,37.0
CT,60,8174.8,28.0,26.0
SD,56,10500.0,29.0,25.0
TN,56,15800.0,29.0,22.0
KY,44,7000.0,30.0,27.0
WI,30,2450.0,31.0,31.0
NE,28,0.0,32.0,37.0
SC,26,5000.0,33.0,28.0
CO,26,4000.0,33.0,29.0
PR,16,0.0,34.0,37.0
ND,16,0.0,34.0,37.0
HI,16,4000.0,34.0,29.0
AR,15,0.0,35.0,37.0
NV,14,2500.0,36.0,30.0
UT,13,0.0,37.0,37.0
WY,13,450.0,37.0,35.0
OK,12,250.0,38.0,36.0
DC,11,13696.0,39.0,24.0
ME,10,0.0,40.0,37.0
OR,9,0.0,41.0,37.0
WV,8,0.0,42.0,37.0
RI,6,0.0,43.0,37.0
GU,5,500.0,44.0,34.0
NM,4,500.0,45.0,34.0
MT,4,0.0,45.0,37.0
MP,4,0.0,45.0,37.0
AK,3,0.0,46.0,37.0
ID,0,0.0,47.0,37.0
VI,0,0.0,47.0,37.0
AS,0,0.0,47.0,37.0
