st_cd,h2a_violtn_cnt,h2a_cmp_assd_amt,rank_violation,rank_penalty
FL,16882,2994196.3800000004,1.0,3.0
CA,13529,3195688.28,2.0,2.0
MS,7267,1046342.7600000004,3.0,10.0
VA,5898,662256.9,4.0,17.0
KY,4929,1021622.1,5.0,11.0
AZ,4812,1863964.2499999998,6.0,5.0
NC,4404,1767183.55,7.0,6.0
NY,4271,654350.2500000001,8.0,18.0
WA,4101,1553890.5000000002,9.0,7.0
GA,3882,1392246.9,10.0,8.0
LA,3615,1359008.5799999998,11.0,9.0
TX,3368,2106093.6500000004,12.0,4.0
IA,2858,595226.4999999999,13.0,20.0
AR,2669,717729.5,14.0,16.0
KS,2392,940327.2,15.0,12.0
NV,2372,3290972.0,16.0,1.0
UT,2056,237880.6,17.0,28.0
TN,1978,652025.1999999997,18.0,19.0
CO,1899,784138.4000000001,19.0,14.0
SC,1734,324127.9,20.0,26.0
IL,1667,52144.6,21.0,43.0
PA,1552,399292.89999999997,22.0,24.0
NE,1545,851322.1500000001,23.0,13.0
NJ,1351,431689.50000000006,24.0,21.0
MI,1259,407873.50000000006,25.0,23.0
ID,1153,731359.3099999999,26.0,15.0
HI,1152,244223.7,27.0,27.0
NM,901,167383.0,28.0,32.0
CT,854,46165.799999999996,29.0,44.0
MN,833,155876.59999999998,30.0,35.0
MO,690,423893.1,31.0,22.0
SD,628,376737.20999999996,32.0,25.0
OH,568,175850.34000000003,33.0,31.0
OR,567,165911.0,34.0,33.0
ND,484,162420.83,35.0,34.0
AL,439,136379.40000000002,36.0,36.0
MA,407,214743.2,37.0,30.0
ME,399,90120.20000000001,38.0,41.0
WI,328,92651.03000000001,39.0,40.0
NH,288,224843.7,40.0,29.0
OK,275,130169.70000000001,41.0,37.0
VT,270,118038.5,42.0,39.0
MD,263,83418.5,43.0,42.0
WY,252,126950.0,44.0,38.0
WV,207,29392.3,45.0,47.0
MT,99,36758.6,46.0,46.0
IN,85,43850.40000000001,47.0,45.0
DE,6,4421.2,48.0,49.0
RI,5,1671.6,49.0,50.0
PR,4,5298.0,50.0,48.0
MP,0,0.0,51.0,51.0
GU,0,0.0,51.0,51.0
VI,0,0.0,51.0,51.0
DC,0,0.0,51.0,51.0
AS,0,0.0,51.0,51.0
AK,0,0.0,51.0,51.0
