st_cd,h2b_violtn_cnt,rank_violation
TX,1432,1.0
NY,1118,2.0
NJ,954,3.0
MO,895,4.0
SD,795,5.0
MI,769,6.0
IL,683,7.0
FL,658,8.0
CO,598,9.0
CA,516,10.0
AZ,473,11.0
PA,449,12.0
LA,446,13.0
GA,431,14.0
NC,414,15.0
NH,386,16.0
VA,362,17.0
ME,328,18.0
AK,327,19.0
OH,297,20.0
UT,293,21.0
VT,257,22.0
AL,242,23.0
IN,233,24.0
KS,207,25.0
CT,200,26.0
AR,179,27.0
MA,165,28.0
OK,159,29.0
WA,136,30.0
NE,128,31.0
SC,121,32.0
RI,116,33.0
MN,115,34.0
MD,107,35.0
NV,105,36.0
OR,97,37.0
ID,92,38.0
MS,61,39.0
KY,58,40.0
TN,56,41.0
ND,54,42.0
MT,35,43.0
WY,22,44.0
WI,12,45.0
IA,12,45.0
WV,10,46.0
DE,5,47.0
HI,2,48.0
GU,0,49.0
VI,0,49.0
DC,0,49.0
AS,0,49.0
MP,0,49.0
PR,0,49.0
NM,0,49.0
